Title,Description1,Description2,Company_name,Location,Salary_range,Date,Rating
Data & Analytics Developers,"A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and…",,Infosys Limited,"Bengaluru, Karnataka",,"Posted
30+ days ago",3.9
Business Intelligence Developer,"Chennai, Tamil Nadu: Reliably commute or planning to relocate before starting work (Preferred).",Total work: 1 year (Preferred).,Apps Business IT Solutions Pvt.Ltd,"Chennai, Tamil Nadu","₹2,63,230 - ₹12,42,767 a year","Employer
Active 7 days ago",
Clinical Data Analyst II,Development of data validation specifications.,Must be able to demonstrate proficiency with several tasks included in data start-up through data-base lock.,Parexel,India,,"Posted
4 days ago",3.6
Data Analyst,Acquiring data from primary or secondary data sources and maintaining databases.,"Reports preparation, maintenance of data, making reports in different tools.",Healthcare Pvt Ltd,"Villupuram, Tamil Nadu","₹10,000 - ₹20,000 a month","Posted
Today",
Data Analyst,"Required : Good in Excel, Linux and SQL.","Job Types: Full-time, Fresher.",Atreus consultant,"Navi Mumbai, Maharashtra
+1 location","₹40,000 a month",Hiring ongoing,
Data Modeling Analyst (Junior),"Basic analytical, data profiling and problem-solving skills;",Your role involves assisting seniors in developing the data models and performing primary research…,FENG GROUP,"Chennai, Tamil Nadu",,"Posted
12 days ago",
Business Analyst (WFH),Review past sales data to determine trends in productivity.,Compile and analyze data over time to forecast sales trends.,Genius Attestation Services & IT Solution Pvt....,"Remote in Mumbai, Maharashtra","₹20,000 a month","Employer
Active 3 days ago",
Data Analyst,Good understanding of SQL and data analysis.,Ability to derive insights from huge volumes of data.,CRISIL LIMITED,"Bengaluru, Karnataka
+1 location",Full-time,"Employer
Active 3 days ago",3.9
Lead - Data Analyst,Support data consumers in understanding and using of data.,Provision of data related advice and enforcement of data standards in projects.,Standard Chartered,"Chennai, Tamil Nadu",Full-time,"Posted
3 days ago",4.1
Data Business Analyst,Familiar with common regulation around data privacy & security.,Experience in big data technologies such as Hadoop and Spark an advantage.,ICube CSI,"Hyderabad, Telangana","₹10,00,000 - ₹18,00,000 a year","Posted
1 day ago",
Finance Reference Data operations analyst,Support the sourcing of data into the Risk and Finance applications.,"Monitor, track, and report on the timeliness and completeness of source data.","JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Full-time,"Posted
9 days ago",3.8
Business Analyst,"VFI SLK leverages the expertise of both firms to deliver innovative solutions to Voya’s Retirement, Employee Benefits and Investment Management businesses.",,VFI SLK,"Remote in Bengaluru, Karnataka","₹10,00,000 - ₹18,00,000 a year","Employer
Active 5 days ago",1.5
Data Analysts/HTML Editor,Work involves XML or ePub (HTML+CSS) creation from various documents and editing of PDF file using Acrobat.,Project training will be given by the company.,i-Tech Infonet (P) Ltd,"Rajkot, Gujarat",,"Posted
8 days ago",
Data Analyst,"Analytical SKILLS: Experience in Competitor Analysis, Data Analysis.","HSR Layout Sector 2, Bengaluru - 560102, Karnataka: Reliably commute or planning to…",Orbio Solutions Pvt Ltd,"HSR Layout Sector 2, Bengaluru, Karnataka","₹80,000 a month","Employer
Active 3 days ago",
Data Analyst,Proven working experience in data analysis.,Proficiency in statistics and statistical packages Excelm to be used for data set analyzing.,Simply logistics pvt ltd,"New Delhi, Delhi","₹10,164 - ₹30,000 a month","Employer
Active 5 days ago",
Data Analyst,Devise and evaluate data collection and analyzing methods.,Turn raw data into information and insight that can be analyzed and used to make critical business…,SE Recruiters,"Ahmedabad, Gujarat","₹60,000 - ₹65,000 a month","Posted
2 days ago",
